molecule_chembl_id,canonical_smiles,std_smiles,inchikey,mw
CHEMBL7990,COc1cccc(N(C)c2ccc(NC(=O)C(C)C)cc2)c1,COc1cccc(N(C)c2ccc(NC(=O)C(C)C)cc2)c1,XMQJJKFSSLPUQX-UHFFFAOYSA-N,298.386
CHEMBL268530,Cc1ccc(Sc2cncc3sc(CO)cc23)cc1,Cc1ccc(Sc2cncc3sc(CO)cc23)cc1,WJRCKUZHLDRTKL-UHFFFAOYSA-N,287.409
CHEMBL8829,O=Cc1ccn(-c2cc3c(cc2Cl)nc(O)n2nc(C(=O)O)cc32)c1,O=Cc1ccn(-c2cc3c(cc2Cl)nc(O)n2nc(C(=O)O)cc32)c1,IPDQBXQCJNLMHR-UHFFFAOYSA-N,356.7250000000001
CHEMBL6901,Clc1cc2ncc(N3CCNCC3)nc2cc1Cl,Clc1cc2ncc(N3CCNCC3)nc2cc1Cl,YHIIYPAPGGCWLA-UHFFFAOYSA-N,283.162
CHEMBL9548,O=C1NC(c2ccc([N+](=O)[O-])cc2)Nc2ncccc21,O=C1NC(c2ccc([N+](=O)[O-])cc2)Nc2ncccc21,MIAFKOUDAIHDIM-UHFFFAOYSA-N,270.24800000000005
CHEMBL6855,CCCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,CCCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,VTRALRXIBUAIMP-UHFFFAOYSA-N,311.303
CHEMBL7450,CN(C(=O)[C@H](CC#Cc1ccc(NN)cc1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1,CN(C(=O)[C@H](CC#Cc1ccc(NN)cc1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1,KGTZAGCAWHYWGV-SANMLTNESA-N,490.62900000000036
CHEMBL402580,O=C1Nc2ccccc2C12OCCS2,O=C1Nc2ccccc2C12OCCS2,ZIBIJMUZBVWSHR-UHFFFAOYSA-N,207.25399999999993
CHEMBL8739,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,278.4359999999999
CHEMBL8357,CCOC(=O)C1CC2OC1C(C(=O)O)C2C(=O)O,CCOC(=O)C1CC2OC1C(C(=O)O)C2C(=O)O,KLJMWDHCGAZVEJ-UHFFFAOYSA-N,258.226
CHEMBL6431,COc1cc2nc(N3CCC(C(=O)NCCO)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCC(C(=O)NCCO)CC3)nc(N)c2cc1OC,DSZDMTCWVSGILQ-UHFFFAOYSA-N,375.42900000000014
CHEMBL9868,COc1ccc(Sc2ccccc2NC2=NCCN2)cc1,COc1ccc(Sc2ccccc2NC2=NCCN2)cc1,FLZNOMBPCFVWRM-UHFFFAOYSA-N,299.39900000000006
CHEMBL8517,N#CN1Cc2cc3ccccc3nc2C1,N#CN1Cc2cc3ccccc3nc2C1,KLQYVOXLSMHROZ-UHFFFAOYSA-N,195.22499999999997
CHEMBL268691,COc1cc(Br)c2c3c([nH]c2c1)CNCC3,COc1cc(Br)c2c3c([nH]c2c1)CNCC3,UOJPZOFUKSVRMM-UHFFFAOYSA-N,281.1530000000001
CHEMBL269359,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C(C)C)[C@@H](C)[C@H]3O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C(C)C)[C@@H](C)[C@H]3O,JLMSPBCWZNHEJD-CJMONDIMSA-N,398.4990000000001
CHEMBL8506,O=C1[C@@H](NS(=O)(=O)c2cc3c(Cl)nccc3s2)CCN1Cc1cc2cc[nH]cc-2n1,O=C1[C@@H](NS(=O)(=O)c2cc3c(Cl)nccc3s2)CCN1Cc1cc2cc[nH]cc-2n1,IFLPJNBMINIOJE-AWEZNQCLSA-N,461.95600000000024
CHEMBL414208,CCOC(=O)C1=C(O)C(=O)N(Cc2ccc(OC)cc2)C1,CCOC(=O)C1=C(O)C(=O)N(Cc2ccc(OC)cc2)C1,CNXSHPZDKZIAOV-UHFFFAOYSA-N,291.303
CHEMBL417601,Cn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4ccc([N+](=O)[O-])cc4)cc3)nc2c1=O,Cn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4ccc([N+](=O)[O-])cc4)cc3)nc2c1=O,WRKCXHQWGGFYMC-UHFFFAOYSA-N,443.39700000000016
CHEMBL8578,CCCC[C@@H](C[C@@H](CCc1ccc(/C=C/c2ccccc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O,CCCC[C@@H](C[C@@H](CCc1ccc(/C=C/c2ccccc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O,JHLCBEICWMJALX-ULNYTKQRSA-N,520.7140000000003
CHEMBL6696,CCC1CCc2nc(N)nc(N)c2C1,CCC1CCc2nc(N)nc(N)c2C1,MXKYJSLULQXXGG-UHFFFAOYSA-N,192.266
CHEMBL9656,CCCCN1CCC(COC(c2ccccc2)c2ccccc2)CC1,CCCCN1CCC(COC(c2ccccc2)c2ccccc2)CC1,XXCODRRDVUJDPD-UHFFFAOYSA-N,337.5070000000001
CHEMBL441587,COc1ccc(CCCN2CCC(COCc3ccc(Cl)c(Cl)c3)CC2)cc1,COc1ccc(CCCN2CCC(COCc3ccc(Cl)c(Cl)c3)CC2)cc1,WGFDCVFIATZRIQ-UHFFFAOYSA-N,422.3960000000001
CHEMBL7495,O=C(Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1)c1cccnc1,O=C(Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1)c1cccnc1,SGZMABKXCSXQTM-UHFFFAOYSA-N,381.391
CHEMBL266784,CCNC(=O)C(=O)[C@H](Cc1ccccc1)NC(=O)C1Cc2cc(Cl)ccc2S(=O)(=O)N1CC,CCNC(=O)C(=O)[C@H](Cc1ccccc1)NC(=O)C1Cc2cc(Cl)ccc2S(=O)(=O)N1CC,OFZUFEGVGGUHAB-OYKVQYDMSA-N,491.99700000000024
CHEMBL7721,O=C(/C=C/c1ccc(Cl)c(Cl)c1)c1ccc(O)cc1,O=C(/C=C/c1ccc(Cl)c(Cl)c1)c1ccc(O)cc1,DXRYJTYVYNBKKK-KRXBUXKQSA-N,293.149
CHEMBL268906,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN2CCCCCC2)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN2CCCCCC2)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,INCNYXSDFKGPSD-YIMFJMEHSA-N,664.9250000000004
CHEMBL430326,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4cccc(OC)c4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4cccc(OC)c4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,DGCQWFZXUMZVFM-TXYHKLEPSA-N,898.1440000000001
CHEMBL8858,CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCNS(=O)(=O)c2ccccc2)Cc2cc3c(cc2S1(=O)=O)OCCO3,CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCNS(=O)(=O)c2ccccc2)Cc2cc3c(cc2S1(=O)=O)OCCO3,RMFBRTUWKVBHBU-SKCDSABHSA-N,670.7660000000002
CHEMBL6327,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCN(C)C)cc1)c1ccccc1,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCN(C)C)cc1)c1ccccc1,KILJJPMNQOHZIY-ZIADKAODSA-N,539.5010000000004
CHEMBL267272,CCCOc1cc2c(cc1O)CCO2,CCCOc1cc2c(cc1O)CCO2,SFZAYWPGQWUWPR-UHFFFAOYSA-N,194.22999999999993
CHEMBL8132,CCn1ncc2c(N[C@@H](C)C3CCCCC3)c3cc(C#N)ccc3nc21,CCn1ncc2c(N[C@@H](C)C3CCCCC3)c3cc(C#N)ccc3nc21,RJVXRUZKDTUTHG-AWEZNQCLSA-N,347.466
CHEMBL66,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,CXQWRCVTCMQVQX-LSDHHAIUSA-N,304.25399999999996
